QueryHour,OrganizationId,ProjectId,CubeName,Service,UserHash,QueryLanguage,Succeeded,TotalQueries,SumWallTime,AvgWallTime
2025-05-12 15:00:00,2907b438-61a8-4d28-4424-8636adafdbe5,3c487bd9-947d-428e-7c58-2b4ba2a5e259,CUBE0005,user-query,1a0ee43890631b922fac29bee598d5e5,sql,TRUE,5738,13035.911,2.271856222
2025-05-12 16:00:00,2907b438-61a8-4d28-4424-8636adafdbe5,3c487bd9-947d-428e-7c58-2b4ba2a5e259,CUBE0005,user-query,1a0ee43890631b922fac29bee598d5e5,sql,TRUE,4576,11171.6045,2.441347137
2025-05-12 14:00:00,2907b438-61a8-4d28-4424-8636adafdbe5,3c487bd9-947d-428e-7c58-2b4ba2a5e259,CUBE0005,user-query,1a0ee43890631b922fac29bee598d5e5,sql,TRUE,4502,10443.852,2.319824967
2025-05-12 18:00:00,2907b438-61a8-4d28-4424-8636adafdbe5,3c487bd9-947d-428e-7c58-2b4ba2a5e259,CUBE0005,user-query,1a0ee43890631b922fac29bee598d5e5,sql,TRUE,4325,8445.517,1.952720694
2025-05-13 14:00:00,2907b438-61a8-4d28-4424-8636adafdbe5,3c487bd9-947d-428e-7c58-2b4ba2a5e259,CUBE0005,user-query,1a0ee43890631b922fac29bee598d5e5,sql,TRUE,4291,10190.207,2.374786064
2025-05-09 15:00:00,2907b438-61a8-4d28-4424-8636adafdbe5,3c487bd9-947d-428e-7c58-2b4ba2a5e259,CUBE0005,user-query,1a0ee43890631b922fac29bee598d5e5,sql,TRUE,4216,8415.387,1.996059535
2025-05-12 17:00:00,2907b438-61a8-4d28-4424-8636adafdbe5,3c487bd9-947d-428e-7c58-2b4ba2a5e259,CUBE0005,user-query,1a0ee43890631b922fac29bee598d5e5,sql,TRUE,3943,9057.292,2.297056049
2025-05-07 16:00:00,2907b438-61a8-4d28-4424-8636adafdbe5,3c487bd9-947d-428e-7c58-2b4ba2a5e259,CUBE0005,user-query,1a0ee43890631b922fac29bee598d5e5,sql,TRUE,3867,10324.516,2.669903284
2025-05-07 15:00:00,2907b438-61a8-4d28-4424-8636adafdbe5,3c487bd9-947d-428e-7c58-2b4ba2a5e259,CUBE0005,user-query,1a0ee43890631b922fac29bee598d5e5,sql,TRUE,3770,8167.8467,2.166537586
2025-05-12 13:00:00,2907b438-61a8-4d28-4424-8636adafdbe5,3c487bd9-947d-428e-7c58-2b4ba2a5e259,CUBE0005,user-query,1a0ee43890631b922fac29bee598d5e5,sql,TRUE,3734,8538.925,2.286803696
